Data,IOPS
926,139685
927,133161
928,137884
929,174976
930,164538
931,139637
932,159439
933,139285
934,124646
935,139903
936,197639
937,169024
938,132424
939,131138
940,140801
941,122663
942,161075
943,215953
944,142132
945,139549
946,144507
947,155391
948,148329
949,146320
950,232946
951,152607
952,142624
953,148083
954,219411
955,217927
956,216962
957,251948
958,251635
959,237188
960,199443
961,251947
962,251839
963,204741
964,249948
965,236665
966,248924
967,211426
968,239746
969,254652
970,178864
971,235052
972,247561
973,213856
974,197702
975,232758
976,198936
977,191783
978,165678
979,142572
980,175069
981,221840
982,158219
983,147782
984,152793
985,178135
986,176059
987,163646
988,241630
989,252657
990,228437
991,247095
992,258825
993,241447
994,219678
995,255883
996,259301
997,244255
998,258569
999,250157
1000,200541
1001,122965
1002,215289
1003,146419
1004,175236
1005,157553
1006,211892
1007,225825
1008,221885
1009,252137
1010,265224
1011,248135
1012,229760
1013,265204
1014,260655
1015,222140
1016,246572
1017,236523
1018,260006
1019,208769
1020,258621
1021,262941
1022,185454
1023,261798
1024,264702
1025,264933
1026,230526
1027,269724
1028,242356
1029,242780
1030,244082
1031,270171
1032,265603
1033,202283
1034,266749
1035,268149
1036,237060
1037,250719
1038,269393
1039,272039
1040,213456
1041,275419
1042,263491
1043,236723
1044,241343
1045,253672
1046,274217
1047,231345
1048,270836
1049,276365
1050,273594
1051,230366
1052,272588
1053,274219
1054,239230
1055,257713
1056,276418
1057,270651
1058,224238
1059,274338
1060,279389
1061,237770
1062,219889
1063,275424
1064,268247
1065,226273
1066,278511
1067,279181
1068,262369
1069,218842
1070,276343
1071,278355
1072,243029
1073,178438
1074,189759
1075,211981
1076,219749
1077,250611
1078,187619
1079,264915
1080,265931
1081,208643
1082,254451
1083,254878
1084,236537
1085,239880
1086,193586
1087,197626
1088,261350
1089,286315
1090,226442
1091,268832
1092,284545
1093,265285
1094,214489
1095,285558
1096,284838
1097,258720
1098,245396
1099,270051
1100,288631
1101,245223
1102,286517
1103,282806
1104,252603
1105,244193
1106,290098
1107,277471
1108,228096
1109,278636
1110,284557
1111,287578
1112,238632
1113,289881
1114,283446
1115,239116
1116,285232
1117,290281
1118,271333
1119,226504
1120,278683
1121,292353
1122,252782
1123,282345
1124,278156
1125,293175
1126,247364
1127,278988
1128,294294
1129,262901
1130,280731
1131,289059
1132,297261
1133,252930
1134,296432
1135,295050
1136,254834
1137,260876
1138,297968
1139,292757
1140,250577
1141,284674
1142,292986
1143,276608
1144,262283
1145,297186
1146,298679
1147,251822
1148,295336
1149,287826
1150,267075
1151,261217
1152,301515
1153,296203
1154,278771
1155,266559
1156,291536
1157,300801
1158,237305
1159,303038
1160,301958
1161,281612
1162,267422
1163,301624
1164,300822
1165,250333
1166,301963
1167,303204
1168,281215
1169,257529
1170,297619
1171,302233
1172,266049
1173,298306
1174,304832
1175,305504
1176,241573
1177,294973
1178,303303
1179,280875
1180,284214
1181,301268
1182,308931
1183,250026
1184,294850
1185,309723
1186,284412
1187,290107
1188,294351
1189,307848
1190,252017
1191,310051
1192,305023
1193,279071
1194,266696
1195,309706
1196,311167
1197,252574
1198,293096
1199,294631
1200,302198
1201,250616
1202,308213
1203,312939
1204,281039
1205,297825
1206,290693
1207,302218
1208,247308
1209,310925
1210,313334
1211,258440
1212,298706
1213,314070
1214,284656
1215,270427
1216,311364
1217,315114
1218,263865
1219,316426
1220,311694
1221,307023
1222,258356
1223,299220
1224,316091
